district,link,new_confirmed,confirmed,active,recovered,deceased
Araria,district/Araria/index.html,0,1,1,0,0
Arwal,district/Arwal/index.html,0,4,4,0,0
Aurangabad,district/Aurangabad/index.html,0,7,7,0,0
Banka,district/Banka/index.html,0,3,3,0,0
Begusarai,district/Begusarai/index.html,0,9,4,5,0
Bhagalpur,district/Bhagalpur/index.html,0,5,4,1,0
Bhojpur,district/Bhojpur/index.html,0,9,8,1,0
Buxar,district/Buxar/index.html,0,38,37,1,0
Darbhanga,district/Darbhanga/index.html,0,1,1,0,0
East Champaran,district/East Champaran/index.html,0,5,5,0,0
Gaya,district/Gaya/index.html,0,6,1,5,0
Gopalganj,district/Gopalganj/index.html,0,18,15,3,0
Jamui,district/Jamui/index.html,0,0,0,0,0
Jehanabad,district/Jehanabad/index.html,0,4,4,0,0
Kaimur,district/Kaimur/index.html,0,18,18,0,0
Katihar,district/Katihar/index.html,0,0,0,0,0
Khagaria,district/Khagaria/index.html,0,0,0,0,0
Kishanganj,district/Kishanganj/index.html,0,0,0,0,0
Lakhisarai,district/Lakhisarai/index.html,0,4,3,1,0
Madhepura,district/Madhepura/index.html,0,1,1,0,0
Madhubani,district/Madhubani/index.html,0,5,5,0,0
Munger,district/Munger/index.html,0,92,80,11,1
Muzaffarpur,district/Muzaffarpur/index.html,0,0,0,0,0
Nalanda,district/Nalanda/index.html,0,35,29,6,0
Nawada,district/Nawada/index.html,0,4,2,2,0
Patna,district/Patna/index.html,0,39,34,5,0
Purnea,district/Purnea/index.html,0,1,1,0,0
Rohtas,district/Rohtas/index.html,0,31,31,0,0
Saharsa,district/Saharsa/index.html,0,0,0,0,0
Samastipur,district/Samastipur/index.html,0,0,0,0,0
Saran,district/Saran/index.html,0,4,3,1,0
Sheikhpura,district/Sheikhpura/index.html,0,1,1,0,0
Sheohar,district/Sheohar/index.html,0,0,0,0,0
Sitamarhi,district/Sitamarhi/index.html,0,1,1,0,0
Siwan,district/Siwan/index.html,0,30,8,22,0
Supaul,district/Supaul/index.html,0,0,0,0,0
Vaishali,district/Vaishali/index.html,0,2,1,0,1
West Champaran,district/West Champaran/index.html,0,5,5,0,0
Bihar,district/Bihar/index.html,0,383,317,64,2
