block,link,new_confirmed,confirmed,active,recovered,deceased
ATHMALGOLA,index.html,0,0,0,0,0
BAKHTIARPUR,index.html,0,0,0,0,0
BARH,index.html,0,0,0,0,0
BELCHHI,index.html,0,0,0,0,0
BIHTA,index.html,0,0,0,0,0
BIKRAM,index.html,0,0,0,0,0
DANAPUR,index.html,0,0,0,0,0
DANIYAWAAN,index.html,0,0,0,0,0
DHANARUA,index.html,0,0,0,0,0
DULHIN BAZAR,index.html,0,0,0,0,0
FATUHA,index.html,0,0,0,0,0
GHOSWARI,index.html,0,0,0,0,0
KHUSRUPUR,index.html,0,0,0,0,0
MANER,index.html,0,0,0,0,0
MASAURHI,index.html,0,2,2,0,0
MOKAMA,index.html,0,0,0,0,0
NAUBATPUR,index.html,0,0,0,0,0
PALIGANJ,index.html,0,0,0,0,0
PANDARAK,index.html,0,0,0,0,0
PATNA SADAR,index.html,0,33,31,2,0
PHULWARI SHARIF,index.html,0,2,1,1,0
PUNPUN,index.html,0,0,0,0,0
SAMPATCHAK,index.html,0,2,0,2,0
Total,index.html,0,39,34,5,0
